,path,date,category,FOV,sample,roin,label,iter,left_bgd,right_bgd,ratio_bgd,sigma_bgd,left_width,right_width
250,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo25\process25\crystals\roi2.txt,2022-05-06,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo25,19,2,std_dose,,0.4929704294566257,0.5120009398156273,1.038603756375363,0.8649657761273666,2.1517597943703795,2.463425074320985
251,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo25\process25\crystals\roi3.txt,2022-05-06,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo25,19,3,std_dose,,0.411771772580553,0.4181739491138523,1.0155478761770804,0.679611909110321,1.0940995333188517,2.6060958788900925
252,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo25\process25\crystals\roi4.txt,2022-05-06,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo25,19,4,std_dose,,0.21663014719544105,0.12779252316561895,0.589911075720805,0.4467953799997755,2.7227451584625957,3.5322300675464233
253,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo25\process25\crystals\roi5.txt,2022-05-06,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo25,19,5,std_dose,,0.20689286074456847,0.18427029337675682,0.890655640381223,0.4439066577870756,3.1811384683903676,2.2364296235682533
254,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo25\process25\crystals\roi6.txt,2022-05-06,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo25,19,6,std_dose,,0.1459577978698745,0.10150518156167632,0.6954419910621771,0.4680274213187843,3.4019324116389074,3.532230067546419
255,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\adult\roi1.txt,2022-10-26,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,1,std_dose,,0.12168490602293935,0.083924086738496,0.6896836220810747,0.3387041497859693,1.5589067368725347,3.233842690816679
256,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\adult\roi10.txt,2022-10-26,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,10,std_dose,,0.1488711400548911,0.10248812111232408,0.6884351196244962,0.4059677504526662,1.8009801195894135,3.5322295943750195
257,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\adult\roi11.txt,2022-10-26,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,11,std_dose,,0.16805153431370384,0.13733251166340893,0.8172047474856651,0.41335835146561595,2.270509449973617,2.556190420694074
258,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\adult\roi12.txt,2022-10-26,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,12,std_dose,,0.13690860591372978,0.11016014584370282,0.8046254295593225,0.36148623817909964,1.9584187137128553,2.527626148639112
259,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\adult\roi2.txt,2022-10-26,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,2,std_dose,,0.1535417017837274,0.1272909139681313,0.8290315431531957,0.427958631302477,1.804650100333866,2.2935327423639333
260,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\adult\roi3.txt,2022-10-26,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,3,std_dose,,0.14977596877306648,0.1098162590529182,0.7332034634962478,0.3961590351887788,1.532181916867029,2.08250428879727
261,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\adult\roi4.txt,2022-10-26,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,4,std_dose,,0.15393458966790435,0.11229950802495686,0.729527445827671,0.35082901891349727,1.5977677838436235,2.80107238277483
262,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\adult\roi5.txt,2022-10-26,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,5,std_dose,,0.1890327867690098,0.12135671827047279,0.6419876696774599,0.4131663517015669,1.5519870368942945,2.9422433960216177
263,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\adult\roi6.txt,2022-10-26,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,6,std_dose,,0.15022834966988852,0.0994954503744212,0.6622947705479845,0.46363451019068924,1.4730799623611002,3.41950600932047
264,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\adult\roi7.txt,2022-10-26,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,7,std_dose,,0.12972911063041376,0.08296524676267347,0.6395268290941559,0.40529701233207016,1.5409395054386326,2.8153018537691525
265,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\adult\roi8.txt,2022-10-26,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,8,std_dose,,0.11127605654762773,0.0859985909884814,0.7728400309699398,0.31007659005100496,1.5901788558620107,2.930398563393177
266,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\adult\roi9.txt,2022-10-26,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,9,std_dose,,0.14405327326739548,0.10744086233678729,0.7458411731981455,0.37460513113372196,1.5367945733705226,2.3476392689564074
267,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\small\roi1.txt,2022-10-26,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,1,std_dose,,0.6599536043867292,0.7616657675379822,1.1541201721987266,0.47185855493417184,1.630361479596987,1.980390040318901
268,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\small\roi2.txt,2022-10-26,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,2,std_dose,,0.33518315115661956,0.3465626127856415,1.0339499810469432,0.5907095786330582,1.452322589854049,1.8607036340739933
269,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\small\roi3.txt,2022-10-26,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,3,std_dose,,0.42004485216032295,0.5028031397490139,1.1970225016758538,0.6689247917263583,1.640878919002909,1.8347235054678037
270,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\small\roi4.txt,2022-10-26,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,4,std_dose,,0.5071799476970137,0.479142584246271,0.9447191010250822,0.9311915917203297,1.1973143081381965,1.8322099564671697
271,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\small\roi5.txt,2022-10-26,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,5,std_dose,,0.3484994108237206,0.32208793368971766,0.9242137108020464,0.7572145965108856,1.7797797021403152,2.3589596525871532
272,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\small\roi6.txt,2022-10-26,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,6,std_dose,,0.19479567424271327,0.2167552699718327,1.1127314341783485,0.4135890640689036,2.6793466321555024,1.8027532561230495
273,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\vesicle\roi1.txt,2022-10-26,vesicle,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,1,std_dose,,0.0073426156304365955,0.009655687943852,1.315020209396126,0.014119831513777478,3.5322300675464176,2.0012554547376955
274,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\vesicle\roi10.txt,2022-10-26,vesicle,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,10,std_dose,,0.018972774202895365,0.02386684619968718,1.257952366082813,0.039712498073878943,3.5321982614677983,2.4673164167148838
275,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\vesicle\roi11.txt,2022-10-26,vesicle,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,11,std_dose,,0.01661251337326196,0.020455004852421785,1.2313010315070303,0.032786187466935984,3.5322300675464233,1.8818420557528421
276,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\vesicle\roi12.txt,2022-10-26,vesicle,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,12,std_dose,,0.011445935415615921,0.015272043511944791,1.3342765756924362,0.019688951316985115,3.5322300675463847,2.1190533121721775
277,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\vesicle\roi13.txt,2022-10-26,vesicle,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,13,std_dose,,0.009626594930449706,0.012682195396441193,1.3174123860064344,0.00814465801767951,3.5322300675464233,2.13980656712478
278,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\vesicle\roi14.txt,2022-10-26,vesicle,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,14,std_dose,,0.013232337418447662,0.01798141570911073,1.3588994249830881,0.0286144377531371,3.5322300675464215,1.5955593018805334
279,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\vesicle\roi15.txt,2022-10-26,vesicle,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,15,std_dose,,0.022134596890555414,0.03264632405952542,1.474900321019862,0.04964986103591801,3.5322300675464233,1.898068026261006
280,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\vesicle\roi16.txt,2022-10-26,vesicle,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,16,std_dose,,0.013135240751356726,0.013381460651042024,1.0187449856722166,0.01710887308122122,3.5322300636899393,1.7565342754541446
281,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\vesicle\roi17.txt,2022-10-26,vesicle,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,17,std_dose,,0.0067308294651640885,0.007826138211490141,1.1627301288786034,0.015521413736365147,3.5322300675463536,2.239164838581715
282,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\vesicle\roi18.txt,2022-10-26,vesicle,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,18,std_dose,,0.010704930183726868,0.012558143992013271,1.1731177855885104,0.01692109945461437,3.5322300675464158,1.234339876730631
283,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\vesicle\roi19.txt,2022-10-26,vesicle,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,19,std_dose,,0.026868314428836942,0.033357782785052,1.2415286739852243,0.05622159379872324,3.5322300507364015,1.9841005022259928
284,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\vesicle\roi2.txt,2022-10-26,vesicle,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,2,std_dose,,0.006090718040413702,0.008037517321589742,1.3196337883741218,0.013464866892767297,3.5322162229120853,1.8796422914702993
285,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\vesicle\roi20.txt,2022-10-26,vesicle,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,20,std_dose,,0.0142473344565716,0.0172099460314544,1.2079414632900887,0.02670422870319182,3.5322300675464127,1.9339893609410423
286,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\vesicle\roi21.txt,2022-10-26,vesicle,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,21,std_dose,,0.03829240764214226,0.05473399004280416,1.429369251323004,0.07715951789351583,3.532230064114201,2.1191540206293067
287,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\vesicle\roi3.txt,2022-10-26,vesicle,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,3,std_dose,,0.007381216269654746,0.009467862138629123,1.2826967525058006,0.015212556979325734,3.5322300470721393,2.1270073846864284
288,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3\process3\vesicle\roi4.txt,2022-10-26,vesicle,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA Oct 2022\20221026\Alba22_2_72hpf\Escan\Escan_tomo3,20,4,std_dose,,0.002545167870865433,0.003794648775456759,1.490922787016978,0.006225635588208812,3.5322300668643085,1.8564168513391792
